viable	emission	foils	thickness	span	chord	alpha	Cl	Cd	stress	stability
0	0.966734410115156	NACA2204	0.08	20	2	4	0.6334	0.0066	124040863.661068	0.160986827881767
0	0.957161247843679	NACA2204	0.08	20	2	6	0.8332	0.01808	163168373.227663	0.345163654529414
0	0.966159445414167	NACA2206	0.12	20	2	4	0.6454	0.0053	56173717.4380614	0.151620043229271
0	0.955949030599093	NACA2206	0.12	20	2	6	0.8585	0.0078	74721314.5655032	0.252496960050561
0	0.966240898746807	NACA2304	0.08	20	2	4	0.6437	0.00718	126057947.487574	0.169901192064273
0	0.956241304322096	NACA2304	0.08	20	2	6	0.8524	0.01089	166928374.146976	0.280926022736799
0	0.965824049338589	NACA2306	0.12	20	2	4	0.6524	0.00632	56782976.8462834	0.163970907851438
0	0.955426770995694	NACA2306	0.12	20	2	6	0.8694	0.00792	75670018.5011631	0.2581561130005
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.956049649421766	NACA2404	0.08	20	2	6	0.8564	0.01692	167711707.671832	0.342844320720798
0	0.965124508952385	NACA2406	0.12	20	2	4	0.667	0.00649	58053717.8977177	0.170231661371057
0	0.954755978844539	NACA2406	0.12	20	2	6	0.8834	0.00811	76888537.3176069	0.265865999746894
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.952671731803452	NACA3204	0.08	20	2	6	0.9269	0.01851	181517961.047433	0.388510342349726
0	0.961315367808329	NACA3206	0.12	20	2	4	0.7465	0.00529	64973164.0339524	0.184837086805637
0	0.951234320050978	NACA3206	0.12	20	2	6	0.9569	0.00801	83285761.1039371	0.296890564181967
0	0.961209957613148	NACA3304	0.08	20	2	4	0.7487	0.00686	146620452.515064	0.201315892710437
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.960697280754765	NACA3306	0.12	20	2	4	0.7594	0.00617	66095942.0862471	0.198236401331905
0	0.950486865939692	NACA3306	0.12	20	2	6	0.9725	0.00826	84643539.2136888	0.30651670071537
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.950793513780219	NACA3404	0.08	20	2	6	0.9661	0.01621	189194629.591029	0.38307921712756
0	0.959753380370641	NACA3406	0.12	20	2	4	0.7791	0.00683	67810572.1351002	0.212012212359109
0	0.94948067771296	NACA3406	0.12	20	2	6	0.9935	0.00851	86471317.4383546	0.318791550107838
0	0.957362485489026	NACA4204	0.08	20	2	4	0.829	0.00709	162345873.026564	0.233610780199794
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.956552743535132	NACA4206	0.12	20	2	4	0.8459	0.00567	73624647.6307037	0.226112447343179
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.956308383537211	NACA4304	0.08	20	2	4	0.851	0.00715	166654207.413276	0.24296140834361
0	0.947444344396955	NACA4304	0.08	20	2	6	1.036	0.0221	202883382.937901	0.475112937885426
0	0.955330943545529	NACA4306	0.12	20	2	4	0.8714	0.00533	75844092.6177979	0.233080414595346
0	0.945546960883689	NACA4306	0.12	20	2	6	1.0756	0.0087	93617059.9262146	0.360910609015943
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.954391834533913	NACA4406	0.12	20	2	4	0.891	0.00717	77550018.9608193	0.259658804692667
0	0.944262873051479	NACA4406	0.12	20	2	6	1.1024	0.00899	95949653.0891214	0.377630351034499
1	0.929852341095677	NACA2204	0.24	20	6	4	0.6378	0.00518	10177243.2290557	0.207181891233484
1	0.907610789912395	NACA2204	0.24	20	6	6	0.8488	0.00936	13544126.7683011	0.368795998759452
1	0.928977436475671	NACA2206	0.36	20	6	4	0.6461	0.00504	4582082.05309422	0.209852324739682
1	0.905850439652865	NACA2206	0.36	20	6	6	0.8655	0.00635	6138046.76822946	0.349631398662665
1	0.92864012385109	NACA2304	0.24	20	6	4	0.6493	0.00522	10360746.3603416	0.213235705065682
1	0.905745029457684	NACA2304	0.24	20	6	6	0.8665	0.00652	13826562.0225411	0.351992973930109
1	0.927796842289639	NACA2306	0.36	20	6	4	0.6573	0.00525	4661511.42779575	0.217528380559645
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.926415968732762	NACA2406	0.36	20	6	4	0.6704	0.00538	4754415.42856271	0.225471967523776
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.920544620861157	NACA3204	0.24	20	6	4	0.7261	0.00104	11586228.1414508	0.211783668018537
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.91797261209873	NACA3206	0.36	20	6	4	0.7505	0.00449	5322477.29584773	0.26004574756459
1	0.895362125232314	NACA3206	0.36	20	6	6	0.965	0.00665	6843691.65955104	0.4222017485138
1	0.917540430298486	NACA3304	0.24	20	6	4	0.7546	0.00556	12040996.7711593	0.27310286155629
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.916591738541853	NACA3306	0.36	20	6	4	0.7636	0.00551	5415381.29661469	0.277822048703696
1	0.893601774972784	NACA3306	0.36	20	6	6	0.9817	0.00681	6962126.53075777	0.436219611776698
1	0.915052749692204	NACA3404	0.24	20	6	4	0.7782	0.00569	12417577.110146	0.288220342301415
1	0.893949628616882	NACA3404	0.24	20	6	6	0.9784	0.012	15612127.273923	0.485648891713379
1	0.914177845072198	NACA3406	0.36	20	6	4	0.7865	0.00571	5577786.00024548	0.293381014711376
1	0.891230045581202	NACA3406	0.36	20	6	6	1.0042	0.00695	7121694.47100638	0.454687165056952
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.90718914913167	NACA4206	0.36	20	6	4	0.8528	0.00453	6047979.53084469	0.323095852050638
1	0.884915974889834	NACA4206	0.36	20	6	6	1.0641	0.00701	7546499.78749043	0.502610106123204
1	0.906641016116726	NACA4304	0.24	20	6	4	0.858	0.00591	13690929.2733298	0.340293934863125
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.905323388676958	NACA4306	0.36	20	6	4	0.8705	0.00569	6173506.31050692	0.346346914437155
1	0.882565327537288	NACA4306	0.36	20	6	6	1.0864	0.0072	7704649.34604792	0.52282800610118
1	0.903299512929475	NACA4404	0.24	20	6	4	0.8897	0.00603	14196759.6439179	0.362655974417818
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.902255951997179	NACA4406	0.36	20	6	4	0.8996	0.00607	6379880.84656178	0.36982225074448
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.95771573620744	NACA2204	0.08	25	2	4	0.6334	0.0066	201127579.639114	0.184790905782252
0	0.945297719110005	NACA2204	0.08	25	2	6	0.8332	0.01808	264571359.891553	0.40300251155268
0	0.956969909354741	NACA2206	0.12	25	2	4	0.6454	0.0053	91083563.0628945	0.172453499739603
