viable	emission	foils	thickness	span	chord	alpha	Cl	Cd	stress	stability
0	458.014999664829	NACA4411	1.32	45	12	12	1.7523	0.01162	4897086.95314159	891946.697812828
0	458.372413768491	NACA4412	1.44	45	12	12	1.7521	0.01161	4114443.6840253	891691.006635443
0	460.695605442292	NACA4410	1.2	45	12	12	1.7508	0.01166	5920402.90101464	890844.911160036
0	466.235524049048	NACA4409	1.08	45	12	12	1.7477	0.01174	7296197.68183806	888552.737653004
0	475.349583692421	NACA4408	0.96	45	12	12	1.7426	0.01193	9207303.5320533	885206.749747932
0	483.927522180301	NACA4407	0.84	45	12	12	1.7378	0.01198	11992740.5330546	881156.717542753
0	489.467440787057	NACA4312	1.44	45	12	12	1.7347	0.01141	4073583.39060481	874277.107533073
0	491.969339512689	NACA4311	1.32	45	12	12	1.7333	0.01144	4843988.3672204	873209.733734024
0	495.543480549306	NACA4310	1.2	45	12	12	1.7313	0.01143	5854462.84128778	871311.934517093
0	502.334348518878	NACA4309	1.08	45	12	12	1.7275	0.01146	7211867.88085784	868059.350976464
0	502.334348518878	NACA4406	0.72	45	12	12	1.7275	0.01252	16226702.7319301	875575.055671181
0	513.235478680558	NACA4308	0.96	45	12	12	1.7214	0.01159	9095289.96905575	863434.304437096
0	517.167033820837	NACA4212	1.44	45	12	12	1.7192	0.01137	4037184.85336242	859878.776039121
0	520.741174857454	NACA4211	1.32	45	12	12	1.7172	0.01142	4798994.30230824	858421.26403294
0	523.779194738579	NACA4307	0.84	45	12	12	1.7155	0.01172	11838845.8881661	859009.786215593
0	525.744972308718	NACA4210	1.2	45	12	12	1.7144	0.01139	5797314.7895245	855675.261960257
0	533.429375537443	NACA4209	1.08	45	12	12	1.7101	0.01141	7139227.35922142	851934.702060029
0	539.32670824786	NACA4306	0.72	45	12	12	1.7068	0.01214	16032264.094274	854137.734368335
0	543.079556336308	NACA4208	0.96	45	12	12	1.7047	0.01143	9007052.86990202	847214.788937671
0	554.874221757143	NACA4207	0.84	45	12	12	1.6981	0.01162	11718766.6585222	842640.723935917
0	567.205008333472	NACA4206	0.72	45	12	12	1.6912	0.01177	15885730.6282143	837538.460259096
0	589.900803915988	NACA4205	0.6	45	12	12	1.6785	0.01228	22703669.7951864	829871.476192261
0	627.250577748633	NACA3412	1.44	45	12	12	1.6576	0.01088	3892530.02148298	801562.083555676
0	628.858941215111	NACA3411	1.32	45	12	12	1.6567	0.01086	4629917.22608553	800633.838637261
0	634.041445718206	NACA3410	1.2	45	12	12	1.6538	0.01089	5592393.37314257	798315.370935738
0	641.904555998762	NACA3409	1.08	45	12	12	1.6494	0.011	6885820.48201848	795263.365593605
0	650.839908590303	NACA3408	0.96	45	12	12	1.6444	0.0111	8688448.25439484	791630.312155187
0	655.664998989736	NACA3312	1.44	45	12	12	1.6417	0.01075	3855192.16715047	786809.468491302
0	657.988190663538	NACA3311	1.32	45	12	12	1.6404	0.01072	4584364.22868998	785471.828644749
0	665.315179788602	NACA3310	1.2	45	12	12	1.6363	0.01079	5533216.39646462	782426.126006503
0	674.250532380143	NACA3309	1.08	45	12	12	1.6313	0.01089	6810257.64054611	778827.610959365
0	676.752431105776	NACA3212	1.44	45	12	12	1.6299	0.01066	3827482.31299174	775993.094905125
0	678.182087520422	NACA3406	0.72	45	12	12	1.6291	0.01172	15302414.715246	782821.406517806
0	682.1136426607	NACA3211	1.32	45	12	12	1.6269	0.0107	4546636.28606177	773700.722447561
0	683.90071317901	NACA3308	0.96	45	12	12	1.6259	0.01097	8590700.56970358	774757.493347354
0	689.440631785765	NACA3210	1.2	45	12	12	1.6228	0.01077	5487565.58588448	770684.206068206
0	697.661156169983	NACA3209	1.08	45	12	12	1.6182	0.01083	6755568.51218765	767178.943465875
0	714.638326093914	NACA3306	0.72	45	12	12	1.6087	0.01167	15110794.0288602	765052.39270206
0	718.927295337853	NACA3207	0.84	45	12	12	1.6063	0.01103	11085245.2055734	758480.271123829
0	735.547051158121	NACA3206	0.72	45	12	12	1.597	0.01144	15000893.9293155	753532.91868937
0	746.448181319802	NACA3305	0.6	45	12	12	1.5909	0.0136	21518777.6450176	763720.915766519
0	782.904419893293	NACA3405	0.6	45	12	12	1.5705	0.00365	21242843.8566221	676168.973431706
