viable	emission	foils	thickness	span	chord	alpha	Cl	Cd	stress	stability
0	2068.66686529281	NACA4406	0.48	45	8	6	1.1182	0.00701	26978978.1809283	224080.940724692
1	2139.52658356124	NACA4206	0.48	45	8	6	1.0661	0.00673	25721953.7101481	205378.578427099
1	2220.31482281546	NACA3406	0.48	45	8	6	1.0067	0.00659	24288801.0505638	185914.3584108
1	2251.46045714073	NACA3306	0.48	45	8	6	0.9838	0.00647	23736289.3350002	178386.185813832
1	2274.44566325852	NACA3206	0.48	45	8	6	0.9669	0.00635	23328540.5143441	172784.559398719
1	2283.8652876451	NACA4406	0.48	40	8	6	1.1182	0.00701	20587946.629152	184503.387526605
1	2344.69832213196	NACA4206	0.48	40	8	6	1.0661	0.00673	19628697.819119	169047.991647449
1	2359.72213802686	NACA4406	0.48	45	8	4	0.9042	0.00614	21815768.2625607	153876.153845509
1	2373.45885884281	NACA2406	0.48	45	8	6	0.8941	0.00622	21572084.056133	151480.635358021
1	2394.40395790872	NACA2306	0.48	45	8	6	0.8787	0.00613	21200525.9592038	146886.031935886
1	2403.92445748413	NACA4306	0.48	45	8	4	0.8717	0.00555	21031635.915145	142273.31461019
1	2410.31679291334	NACA2206	0.48	45	8	6	0.867	0.00608	20918238.3141342	143530.610566225
1	2414.05498717072	NACA3406	0.48	40	8	6	1.0067	0.00659	18535043.705569	152935.076490535
1	2423.23747090854	NACA4206	0.48	45	8	4	0.8575	0.00491	20689030.3971973	135498.357317919
1	2440.79349944997	NACA3306	0.48	40	8	6	0.9838	0.00647	18113416.1096045	146715.235101572
1	2460.52628798793	NACA3206	0.48	40	8	6	0.9669	0.00635	17802258.6261197	142092.787772471
1	2513.41020260138	NACA3406	0.48	45	8	4	0.7912	0.00586	19089400.4084694	123296.195643375
1	2533.7361010844	NACA4406	0.48	40	8	4	0.9042	0.00614	16647845.9507058	126453.638497833
1	2545.52906938224	NACA2406	0.48	40	8	6	0.8941	0.00622	16461887.9280315	124452.638966094
1	2546.73195111532	NACA3306	0.48	45	8	4	0.7667	0.00547	18498285.2542637	115623.956702759
1	2563.51042698488	NACA2306	0.48	40	8	6	0.8787	0.00613	16178347.9726666	120659.62979689
1	2565.90895740294	NACA3206	0.48	45	8	4	0.7526	0.00464	18158092.4512311	108429.265623588
1	2571.68377134971	NACA4306	0.48	40	8	4	0.8717	0.00555	16049466.1747735	116941.991189016
1	2577.17158828039	NACA2206	0.48	40	8	6	0.867	0.00608	15962931.253331	117886.708578567
1	2588.2639842041	NACA4206	0.48	40	8	4	0.8575	0.00491	15788020.2419047	111442.601353606
1	2665.67723154534	NACA3406	0.48	40	8	4	0.7912	0.00586	14567325.4990029	101149.94449739
1	2668.86635995419	NACA2406	0.48	45	8	4	0.6769	0.00556	16331667.2604814	96252.6177285449
1	2693.0756303031	NACA2306	0.48	45	8	4	0.6591	0.00516	15902204.0055892	90730.2804453281
1	2694.28393682227	NACA3306	0.48	40	8	4	0.7667	0.00547	14116239.2063771	94860.4571902336
0	2709.6741095334	NACA4406	0.24	45	4	6	1.1106	0.00797	124862026.340363	82742.2294643674
1	2709.80450812846	NACA2206	0.48	45	8	4	0.6468	0.00489	15605440.0710288	87001.0947304604
1	2710.74738761429	NACA3206	0.48	40	8	4	0.7526	0.00464	13856634.4420495	89048.0945201348
0	2731.77667139746	NACA4306	0.24	45	4	6	1.0827	0.0077	121725297.963903	78933.6128172879
0	2748.88833219545	NACA4206	0.24	45	4	6	1.0611	0.00743	119296863.091805	75896.3100540994
0	2797.2129298194	NACA3406	0.24	45	4	6	1.0001	0.00756	112438783.128937	69689.158854857
1	2799.13626881689	NACA2406	0.48	40	8	4	0.6769	0.00556	12462869.8562627	78782.1264541449
0	2814.32459061739	NACA3306	0.24	45	4	6	0.9785	0.00731	110010348.256839	66884.003871736
1	2819.91991591604	NACA2306	0.48	40	8	4	0.6591	0.00516	12135141.855906	74277.0728890329
0	2823.23171259374	NACA4406	0.24	40	4	6	1.1106	0.00797	96663356.9673242	69416.2795539999
0	2827.31677751956	NACA3206	0.24	45	4	6	0.9621	0.00713	108166536.59469	64809.6493811044
1	2834.28164958569	NACA2206	0.48	40	8	4	0.6468	0.00489	11908678.1253224	71234.8284204304
0	2842.48153078287	NACA4306	0.24	40	4	6	1.0827	0.0077	94235023.0402683	66206.5843708991
0	2857.38461583253	NACA4206	0.24	40	4	6	1.0611	0.00743	92355022.580612	63655.0798335175
0	2879.28552512827	NACA4406	0.24	45	4	4	0.8965	0.00647	100791289.946097	56932.7403603379
0	2885.38551532014	NACA2406	0.24	45	4	6	0.8888	0.00718	99925597.8852103	57898.5353482198
0	2896.95173048915	NACA2306	0.24	45	4	6	0.8742	0.00697	98284155.7957368	56068.603455211
0	2899.47203194496	NACA3406	0.24	40	4	6	1.0001	0.00756	87045762.0232496	58338.8662091582
0	2900.04133591101	NACA4306	0.24	45	4	4	0.8703	0.0056	97845688.3882747	52478.2049430258
0	2905.58678153999	NACA2206	0.24	45	4	6	0.8633	0.00678	97058695.6056504	54638.3111946771
0	2914.37511699461	NACA3306	0.24	40	4	6	0.9785	0.00731	85165761.5635933	55982.4739401677
0	2915.56858367215	NACA4206	0.24	45	4	4	0.8507	0.00485	95642108.5969267	48957.9559881221
0	2925.69042231009	NACA3206	0.24	40	4	6	0.9621	0.00713	83738353.8071877	54239.2426978878
0	2968.40875845112	NACA3406	0.24	45	4	4	0.784	0.00607	88143191.6539209	46192.1239626775
0	2970.95164357199	NACA4406	0.24	40	4	4	0.8965	0.00647	78028722.7815651	47616.1895129167
0	2976.26431740914	NACA2406	0.24	40	4	6	0.8888	0.00718	77358537.432521	48334.2636194478
0	2986.15418446385	NACA3306	0.24	45	4	4	0.7616	0.00583	85624814.7495231	43831.1201318858
0	2986.33769897047	NACA2306	0.24	40	4	6	0.8742	0.00697	76087796.3810867	46804.0892330029
0	2989.0285337711	NACA4306	0.24	40	4	4	0.8703	0.0056	75748351.8536487	43944.9483525221
0	2993.85823725942	NACA2206	0.24	40	4	6	0.8633	0.00678	75139092.4454268	45611.9541032883
0	2995.7398833368	NACA3206	0.24	45	4	4	0.7495	0.00467	84264441.5109869	40142.2089652087
0	3002.55170353838	NACA4206	0.24	40	4	4	0.8507	0.00485	74042425.5106273	41053.0402860978
0	3048.57187820559	NACA3406	0.24	40	4	4	0.784	0.00607	68237053.7208556	38510.5848114675
0	3058.16575698871	NACA2406	0.24	45	4	4	0.6707	0.00574	75405151.3294448	36872.7875496077
0	3064.02692936819	NACA3306	0.24	40	4	4	0.7616	0.00583	66287423.6145454	36531.7091306796
0	3070.20729606878	NACA2306	0.24	45	4	4	0.6555	0.00562	73696252.7157463	35544.7520017813
0	3072.37541682656	NACA3206	0.24	40	4	4	0.7495	0.00467	65234275.2089047	33557.1296268659
0	3078.20858190488	NACA2206	0.24	45	4	4	0.6454	0.00519	72560734.5579599	33847.7245055276
0	3126.74407895213	NACA2406	0.24	40	4	4	0.6707	0.00574	58375755.0134921	30607.3528082073
0	3137.23143509819	NACA2306	0.24	40	4	4	0.6555	0.00562	57052791.7270674	29492.0190662578
0	3144.20000727418	NACA2206	0.24	40	4	4	0.6454	0.00519	56173717.4380614	28108.1250543615
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
